total_delinquent,lat,long
1346.61,37.481186,-77.462226
1590.68,37.580893,-77.423735
1885.42,37.58051,-77.433535
774.61,37.545668,-77.406875
1778.47,37.579231,-77.431914
1730.04,37.519969,-77.393963
37.19,37.55394,-77.45039
3380.34,37.529713,-77.420144
194.27,37.472263,-77.496295
938.56,37.470996,-77.439611
5,37.540759,-77.433932
1658.83,37.46246,-77.485214
1186.94,37.546154,-77.399604
55.71,37.547988,-77.458654
810.79,37.550017,-77.557296
895.28,37.505029,-77.445839
180.43,37.537983,-77.522969
62.09,37.530873,-77.408088
642.91,37.548732,-77.421798
28.2,37.551204,-77.4855
2244.63,37.495432,-77.513256
77.69,37.555124,-77.433468
1747.26,37.506972,-77.440848
141.46,37.523324,-77.447822
36.89,37.577235,-77.425613
301.44,37.48446,-77.440104
511.62,37.520195,-77.494019
201.26,37.517237,-77.456796
402.5,37.509936,-77.402602
1111.04,37.56326,-77.420467
88.85,37.474107,-77.445749
1631.21,37.53791,-77.415057
255.05,37.542824,-77.400095
35.69,37.542921,-77.402289
2293.69,37.514094,-77.472827
92.79,37.545838,-77.470374
1136.69,37.509938,-77.467088
141.46,37.485894,-77.510865
436.16,37.528631,-77.517756
150.57,37.561284,-77.45335
479.34,37.549078,-77.399698
508.6,37.53833,-77.417572
1825.12,37.474193,-77.446891
1899.87,37.574853,-77.490977
39.8,37.5165,-77.453189
1569.19,37.53373,-77.417696
384.9,37.573986,-77.414993
875.3,37.514453,-77.504098
2271.55,37.508681,-77.514456
1250.88,37.58051,-77.433535
190.65,37.561901,-77.452902
62.09,37.505622,-77.472715
1932,37.583151,-77.535554
103.84,37.476025,-77.432016
1170.23,37.539412,-77.414762
337.55,37.478183,-77.453256
767.56,37.545552,-77.415318
338.58,37.515652,-77.491566
62.09,37.540606,-77.532826
12.67,37.540759,-77.433932
62.09,37.536888,-77.411606
1335.38,37.567353,-77.434219
77.04,37.551358,-77.433761
313.93,37.482264,-77.467283
249.38,37.512415,-77.459152
1392.85,37.553024,-77.41618
83.29,37.52632,-77.415342
416.33,37.464556,-77.444509
1015.24,37.570966,-77.433949
920.94,37.474417,-77.443759
56.12,37.548959,-77.421307
318.55,37.512782,-77.39968
116.03,37.478485,-77.508175
1119.69,37.508148,-77.442971
3700.45,37.538153,-77.583537
307.98,37.54175,-77.404856
1012.18,37.569081,-77.409886
194.27,37.514844,-77.45217
1046.97,37.535795,-77.404783
273.66,37.494397,-77.440273
